stream_semester_group,stream,section,semester,dedicated_room,room_type,room_capacity,course_code,course_name,course_hours_per_week,course_department,is_lab,faculty_name,faculty_department
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-107,Design,4,CSE,False,Dr. Vivaan Iyer,CSE
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-1010,Structures,4,CSE,False,Prof. Aarav Pandey,CSE
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-1010L,Structures Lab,2,CSE,True,Prof. Aarav Pandey,CSE
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-109,Structures,4,CSE,False,Dr. Aanya Menon,CSE
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-109L,Structures Lab,2,CSE,True,Prof. Kiara Singh,CSE
CSE-A_I,CSE,A,I,CR-077,theory,64,CS-106,Analysis,3,CSE,False,Dr. Aditya Khan,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-207,Design,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-207L,Design Lab,2,CSE,True,Prof. Sai Verma,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-203,Analysis,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-203L,Analysis Lab,2,CSE,True,Prof. Aarav Pandey,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-2012,Fundamentals,3,CSE,False,Prof. Ananya Menon,CSE
CSE-A_II,CSE,A,II,CR-077,theory,64,CS-2010,Theory,3,CSE,False,Prof. Vivaan Mishra,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-308,Engineering,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-307,Fundamentals,4,CSE,False,Prof. Sai Verma,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-307L,Fundamentals Lab,2,CSE,True,Dr. Vivaan Joshi,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-306,Applications,4,CSE,False,Prof. Pari Yadav,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-304,Analysis,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-A_III,CSE,A,III,CR-077,theory,64,CS-302,Principles,4,CSE,False,Prof. Sai Verma,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-408,Systems,4,CSE,False,Dr. Ishaan Sharma,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-408L,Systems Lab,2,CSE,True,Prof. Vivaan Mishra,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-409,Engineering,3,CSE,False,Dr. Vivaan Iyer,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-409L,Engineering Lab,2,CSE,True,Dr. Vivaan Joshi,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-403,Dynamics,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-A_IV,CSE,A,IV,CR-077,theory,64,CS-403L,Dynamics Lab,2,CSE,True,Dr. Priya Gupta,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-507,Dynamics,3,CSE,False,Dr. Vihaan Mishra,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-507L,Dynamics Lab,2,CSE,True,Dr. Vivaan Iyer,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-503,Systems,3,CSE,False,Dr. Ananya Reddy,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-505,Dynamics,3,CSE,False,Prof. Pari Yadav,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-505L,Dynamics Lab,2,CSE,True,Prof. Ananya Menon,CSE
CSE-A_V,CSE,A,V,CR-077,theory,64,CS-5010,Programming,4,CSE,False,Dr. Ananya Reddy,CSE
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-604,Principles,3,CSE,False,Dr. Aditya Khan,CSE
CSE-A_VI,CSE,A,VI,CR-077,theory,64,CS-6010,Applications,4,CSE,False,Dr. Priya Gupta,CSE
